payment date,fixed rate,fixed cf,fixed disc cf,floating rate,floating cf,floating disc cf,difference (float - fixed)
2026-07-01,5.2000%,261444.44,255354.75,4.7432%,238479.77,232924.98,-22429.77
2027-01-01,5.2000%,265777.78,253180.11,4.9512%,253062.54,241067.56,-12112.54
2027-07-01,5.2000%,261444.44,242850.74,5.0790%,255359.70,237198.74,-5652.00
2028-01-01,5.2000%,265777.78,240556.97,5.1394%,262678.69,237751.98,-2805.00
2028-07-01,5.2000%,262888.89,232020.97,5.0480%,255203.27,225237.79,-6783.19
2029-01-01,5.2000%,265777.78,228630.38,5.0834%,259820.16,223505.45,-5124.93
2029-07-01,5.2000%,261444.44,219176.36,5.1965%,261266.76,219027.40,-148.96
2030-01-01,5.2000%,265777.78,216984.36,5.2521%,268441.07,219158.71,2174.35
2030-07-01,5.2000%,261444.44,207897.85,5.3084%,266896.87,212233.56,4335.71
2031-01-01,5.2000%,265777.78,205722.91,5.3456%,273219.77,211483.32,5760.41

fixed leg PV,2302375.41
floating leg PV,2259589.49
net (payer),-42785.92
